!  NACA 0012 Sandia
!  For example, the Sandia 17 m turbine
!  Sheldahl and Klimas
!  High Re from Abbott and von Doenhoff "smooth"
!
!  Updated the drag estimate, lowering Cd
!  just beyond stall, for Re = 8.6e5, 1.76e6,
!  and 3e6.  These now better match flat-plate
!  theory.
naca0012
1 -5. 5. -5. 5. 0.10
7
1.e1 23
  0.0  0.00 0.0060  0.000
  4.0  0.44 0.0069  0.000
  8.0  0.90 0.0100  0.000
 12.0  1.28 0.0130  0.000
 14.0  1.45 0.0200  0.000
 16.0  1.55 0.0250 -0.025
 18.0  1.00 0.1910 -0.075
 20.0  0.87 0.2303 -0.085
1.e8 15
-20.0 -0.87 0.2303  0.085
-18.0 -1.00 0.1910  0.075
-16.0 -1.55 0.0250  0.025
-14.0 -1.45 0.0200  0.000
-12.0 -1.28 0.0130  0.000
 -8.0 -0.90 0.0100  0.000
 -4.0 -0.44 0.0069  0.000
  0.0  0.00 0.0060  0.000
  4.0  0.44 0.0069  0.000
  8.0  0.90 0.0100  0.000
 12.0  1.28 0.0130  0.000
 14.0  1.45 0.0200  0.000
 16.0  1.55 0.0250 -0.025
 18.0  1.00 0.1910 -0.075
 20.0  0.87 0.2303 -0.085


